OSH-1484	OSH	OSH-39	鉛中毒預防規則	第2條	民國113年6月13日	鉛-適用	2	鉛中毒預防規則所稱鉛作業，下列何者屬之？	鉛蓄電池製造修理解體中鉛之熔融鑄造研磨、含鉛塗料之剝除、通風不充分場所之鉛合金軟焊、含鉛設備內部作業等	塑膠射出製造換模拆卸中粒料之乾燥混練研磨、脫模劑之噴灑、通風充分場所之熱風熔接、成品倉庫內部作業等	鋁門窗製造修理拆卸中鋁材之裁切鑽孔研磨、防鏽塗料之噴塗、通風良好場所之錫線軟焊、密閉水塔內部作業等	水泥製品澆置養護拆模中砂石之攪拌篩選輸送、防水塗膜之塗布、開放式場所之鋼構銲接、地下管溝內部作業等	Which is a 'lead operation' under the Lead Poisoning Prevention Rules?	Melting, casting or grinding lead in battery manufacture/repair, stripping lead paint, soft-soldering lead alloy in poorly ventilated places, work inside lead-contaminated equipment, etc.	Drying, blending or grinding pellets in plastic injection moulding and mould changing, spraying release agents, hot-air welding in well-ventilated places, work inside finished-goods stores, etc.	Cutting, drilling or grinding aluminium in window-frame manufacture/repair, spraying anti-rust paint, soft-soldering tin wire in well-ventilated places, work inside sealed water tanks, etc.	Mixing, sieving or conveying aggregate in concrete casting and mould stripping, applying waterproof coatings, arc-welding steelwork in open areas, work inside underground pipe trenches, etc.	a	第2條列十八款鉛作業：鉛之冶煉精煉、含鉛百分之三以上銅鋅冶煉、鉛蓄電池製造修理解體、鉛合金及鉛製品製造、電線電纜鉛被覆、鉛快削鋼注鉛、鉛化合物製造、鉛襯墊上光、橡膠塗料釉藥農藥玻璃等含鉛製造、通風不充分場所鉛合金軟焊、含鉛釉藥施釉烘燒、含鉛繪料繪畫烘燒、熔融鉛淬火退火砂浴、含鉛設備塗料之軋碎熔接切斷剝除、含鉛設備內部作業、轉印紙上粉、鉛字檢字排版、前述之清掃作業。	Article 2 lists 18 categories from smelting and battery work to lead paint removal, glazing, quenching in molten lead, typesetting and cleaning of such workplaces.	draft	6		
OSH-1485	OSH	OSH-39	鉛中毒預防規則	第3條	民國113年6月13日	鉛-定義	3	鉛中毒預防規則所稱「鉛合金」指鉛佔合金重量百分之多少以上者？「通風不充分之場所」指室內對外開口面積未達底面積幾分之一或全面積百分之幾者？	百分之五十以上；五分之一或百分之十	百分之十以上；二十分之一或百分之三	百分之一以上；三十分之一或百分之一	百分之三以上；十分之一或百分之五	A 'lead alloy' contains at least what percentage of lead by weight, and a 'poorly ventilated place' has openings below what fraction of floor area or what percentage of total area?	50%; one fifth or 10%	10%; one twentieth or 3%	1%; one thirtieth or 1%	3%; one tenth or 5%	b	第3條：鉛合金指鉛佔該合金重量百分之十以上；鉛混存物指鉛合金鉛化合物鉛混合物；作業時間短暫指每日作業時間一小時以內；臨時性作業指不超過三個月且一年內不再重覆；通風不充分之場所指室內對外開口面積未達底面積二十分之一以上或全面積百分之三以上者。	Article 3: 10% lead; openings under 1/20 of floor area or 3% of total area.	draft	6		
OSH-1491	OSH	OSH-39	鉛中毒預防規則	第7條	民國113年6月13日	鉛-設施	2	鉛蓄電池製造過程中，非以濕式作業方法從事鉛之研磨、製粉、混合、篩選、捏合之室內作業場所，應設置何種設備？	移動式集塵機或水霧噴頭	密閉設備或局部排氣裝置	整體換氣裝置或循環風扇	自然通風窗或排氣煙囪	In battery manufacturing, indoor dry grinding, powdering, mixing, sieving or kneading of lead requires:	A mobile dust collector or water-mist nozzles	Enclosed equipment or local exhaust ventilation	General ventilation or recirculating ceiling fans	Natural ventilation windows or an exhaust stack	b	第7條：鉛蓄電池作業之熔融鑄造加工組配熔接熔斷極板切斷之室內場所設局部排氣裝置；非濕式之研磨製粉混合篩選捏合設密閉設備或局部排氣裝置；非濕式倒入取出粉狀鉛設局部排氣裝置及承受溢流設備；解體軋碎場所應與其他作業場所隔離；自動鑄造機防飛散；工作台設承受容器；人工搬運容器裝把手車輪；地面易於真空除塵或水洗；設儲存浮渣容器。第20條：此類氣罩應採包圍型。	Article 7: enclosure or LEV for dry powder operations, LEV for melting/casting/welding, overflow catchers, isolation of crushing areas, splash guards, and easily cleaned floors; Article 20: enclosing hoods.	draft	6		
OSH-1510	OSH	OSH-39	鉛中毒預防規則	第24條	民國113年6月13日	鉛-免設	3	下列何種鉛作業得免設置局部排氣裝置或整體換氣裝置？	與其他作業場所有效隔離且勞工不必經常出入之室內場所、作業時間短暫或臨時性作業、牆壁一半以上開放且四公尺內無障礙物之熔融鑄造場所、設排氣煙囪並以石灰覆蓋熔鉛表面者	與倉儲區共用而勞工經常往來之室內作業場所、每日作業四小時之固定性作業、牆壁五分之一以上開放且十公尺內無障礙物之熔融鑄造場所、設冷氣機並以木屑覆蓋熔鉛表面者	與其他作業場所以布簾區隔而勞工每日出入之室內場所、作業時間達八小時之經常性作業、牆壁四分之一以上開放且二公尺內無障礙物之熔融鑄造場所、設電風扇並以砂土覆蓋熔鉛表面者	與辦公室相鄰而勞工得自由進出之室內作業場所、作業期間逾三個月之長期性作業、屋頂三分之一以上開放且六公尺內無障礙物之熔融鑄造場所、設抽風機並以清水覆蓋熔鉛表面者	Which lead operations may omit local exhaust or general ventilation?	Isolated rooms workers seldom enter, short or temporary work, melting areas with over half the walls open and no obstacles within 4 m, or melting with a thermal stack and lime cover	Rooms shared with storage that workers pass through, fixed four-hour daily work, melting areas with a fifth of the walls open and no obstacles within 10 m, or melting with a cooler and sawdust	Rooms curtained off that workers enter daily, routine eight-hour work, melting areas with a quarter of the walls open and no obstacles within 2 m, or melting with a fan and a sand cover	Rooms next to offices that workers freely enter, long-term work over three months, melting areas with a third of the roof open and no obstacles within 6 m, or melting with a stack and water cover	a	第24條：與其他作業場所有效隔離而勞工不必經常出入之室內作業場所；作業時間短暫或臨時性作業；熔融鑄造等作業場所牆壁面積一半以上為開放且鄰近四公尺無障礙物者；熔融作業場所設利用溫熱上升氣流之排氣煙囟且以石灰覆蓋熔融鉛表面者；前三款勞工有遭鉛污染之虞時應提供防護具。	Article 24: the four exemptions, with PPE required for the first three when contamination is possible.	draft	6		
OSH-1513	OSH	OSH-39	鉛中毒預防規則	第27條	民國113年6月13日	鉛-集塵	3	鉛或鉛合金熔融鑄造作業之熔爐或坩堝總容量未滿多少公升者，得免設集塵裝置？	二十公升	一百公升	五十公升	二百公升	Melting or casting furnaces or crucibles with a total capacity below what volume are exempt from dust collectors?	20 liters	100 liters	50 liters	200 liters	c	第27條：鉛作業之密閉設備及局部排氣裝置應設有效污染防制過濾式集塵設備或同等性能以上之集塵設備；熔爐或坩堝等總容量未滿五十公升者得免設集塵裝置。第49條：坩堝爐容量總計不滿五十公升且攝氏四百五十度以下熔融鑄造者僅適用部分條文。	Article 27: filter-type dust collectors required except for furnaces under 50 liters; Article 49: small furnaces below 450°C follow only limited provisions.	draft	6		
OSH-1517	OSH	OSH-39	鉛中毒預防規則	第31條	民國113年6月13日	鉛-設計	3	雇主設置局部排氣裝置時應由何人設計？原始性能測試報告及相關文件應保存幾年？	經中央主管機關訓練合格之專業人員；十年	經設備製造廠商認可之現場工程人員；五年	經勞動檢查機構備查之外部專業技師；三年	經雇主指派之職業安全衛生管理員；一年	Local exhaust ventilation must be designed by whom, and how long are the initial performance test reports kept?	Professionals trained and certified by the central authority; 10 years	Site engineers approved by the equipment manufacturer's agent; 5 years	External engineers recorded with the labor inspection agency; 3 years	Occupational safety and health officers appointed by the employer; 1 year	a	第31條：密閉設備局部排氣裝置整體換氣裝置應由專業人員妥為設計並維持性能；設置局部排氣裝置應指派或委託經中央主管機關訓練合格之專業人員設計並製作設計報告書；設置完成後實施原始性能測試並製作報告書，文件紀錄保存十年；化學排氣櫃型式不受限制；改裝時亦同（性能無顯著影響者除外）。第31條之1：資格訓練準用特定化學物質危害預防標準第38條及第38條之1。	Article 31: certified designers with design and initial performance test reports kept 10 years (fume hoods exempt); Article 31-1 refers to the specified chemical standards for qualifications.	draft	6		
OSH-1519	OSH	OSH-39	鉛中毒預防規則	第32條	民國113年6月13日	鉛-換氣量	3	於通風不充分場所從事鉛合金軟焊作業設置整體換氣裝置時，其換氣量應為每一從事鉛作業勞工平均每分鐘多少立方公尺以上？	三立方公尺	十立方公尺	一．六七立方公尺	零．五立方公尺	General ventilation for soft-soldering lead alloy in poorly ventilated places must supply per worker at least:	3 m³ per minute	10 m³ per minute	1.67 m³ per minute	0.5 m³ per minute	c	第32條：從事第2條第2項第10款（通風不充分場所鉛合金軟焊）作業設置整體換氣裝置之換氣量，應為每一從事鉛作業勞工平均每分鐘一．六七立方公尺以上。第30條：局部排氣裝置應於作業時間內有效運轉並降低鉛塵濃度至容許暴露標準以下。	Article 32: 1.67 m³/min per lead worker; Article 30: LEV must run during work and keep lead dust below the PEL.	draft	6		
OSH-1521	OSH	OSH-39	鉛中毒預防規則	第34條	民國113年6月13日	鉛-休息室	2	雇主使勞工從事鉛作業時，應於作業場所外設置休息室，其出入口應如何？	設置沖洗用水管或充分濕潤之墊蓆以清除足部鉛塵，並於入口設置清除鉛塵用毛刷或真空除塵機	設置紫外線燈管或持續加熱之地墊以蒸除足部鉛塵，並於入口設置量測鉛塵用試紙或警示標誌	設置人員感應門或防滑之地磚以阻隔足部鉛塵，並於走道設置收集鉛塵用網籃或落塵承接盤	設置吹氣風管或完全乾燥之棕墊以拍除足部鉛塵，並於出口設置清除鉛塵用抹布或壓縮空氣槍	Rest rooms for lead workers must be outside the work area, with entrances fitted with:	Washing hoses or wet mats to remove lead dust from feet, plus brushes or vacuum cleaners at the entrance	UV lamps or heated floor mats to bake lead dust off feet, plus test papers or warning signs at the entrance	Sensor doors or anti-slip tiles to block lead dust from feet, plus catch baskets or drip trays along the aisle	Air blow guns or dry coir mats to beat lead dust off feet, plus rags or compressed air lines at the exit	a	第34條：休息室出入口應設沖洗用水管或充分濕潤之墊蓆清除足部鉛塵，入口設毛刷或真空除塵機；地面易於真空除塵或水洗；進入休息室前應清除工作衣上鉛塵並揭示。第35條：處理粉狀鉛者應設淋浴設備；第36條：每日以水沖洗或真空除塵清潔作業場所休息室餐廳一次以上；第37條：備置指甲刷肥皂等盥洗設備；第39條：設專用洗衣設備。	Article 34; Articles 35–39: showers for powder handling, daily washing, nail brushes and soap, and dedicated laundry facilities.	draft	6		
OSH-1527	OSH	OSH-39	鉛中毒預防規則	第40條	民國113年6月13日	鉛-作業主管	2	鉛作業主管應執行之事項，下列何者正確？	採取措施協調勞資爭議事項、辦理團體協約並簽署、保存每季檢點消防滅火設備一次以上之紀錄、監督餐廳清潔	採取措施降低機具耗損成本、編列採購預算並議價、保存每半年檢點整體換氣裝置一次以上之紀錄、監督制服換洗	採取措施預防勞工遭受鉛污染、決定作業方法並指揮、保存每月檢點局部排氣裝置一次以上之紀錄、監督防護具使用	採取措施提高現場作業產量、核定加班時數並排班、保存每年檢點局部排氣裝置一次以上之紀錄、監督出勤紀錄簽核	The lead work supervisor must:	Mediate labor disputes, conclude collective agreements and sign, keep records of at least quarterly fire equipment checks, and supervise canteens	Cut machine wear costs, draw up purchase budgets and bargain, keep records of half-yearly general ventilation checks, and supervise uniforms	Prevent lead contamination, decide methods and direct work, keep records of at least monthly LEV checks, and supervise PPE use	Raise site output, approve overtime and set rosters, keep records of at least annual LEV checks, and supervise attendance sign-off	c	第40條：雇主應指派現場作業主管擔任鉛作業主管，執行採取必要措施預防勞工遭受鉛污染、決定作業方法並指揮勞工作業、保存每月檢點局部排氣裝置及其他預防健康危害裝置一次以上之紀錄、監督勞工確實使用防護具。第44條：應公告鉛作業場所禁止飲食或吸菸。	Article 40: the four duties; Article 44: no eating or smoking in lead workplaces.	draft	6		
OSH-1532	OSH	OSH-39	鉛中毒預防規則	第45條	民國113年6月13日	鉛-防護具	2	從事鉛冶煉、砂浴攪砂、非濕式剝除含鉛塗料、含鉛設備內部作業、乾燥作業、集塵濾布更換等作業時，雇主應如何？	置備適當之防墜安全帶並公告規則使勞工自行選用；防護具得混合保管並開放攜至鉛作業場所以外	置備通用之耳塞耳罩並列入年度計畫使勞工參考；防護具與工作服共同存放並可攜往餐廳休息室	置備適當之呼吸防護具並訂定計畫使勞工確實遵守；防護具應專用保管並禁止攜入鉛作業場所以外	置備一般之棉紗口罩並口頭宣導使勞工視情況配戴；防護具由勞工自備並得攜回住所自行清洗	For lead smelting, sand-bath stirring, dry stripping of lead paint, work inside lead equipment, drying or filter-bag replacement, the employer must:	Provide fall-arrest harnesses under posted rules workers may opt into, stored together and freely taken outside	Provide earplugs and earmuffs listed in the annual plan for reference, stored with work clothes and taken to canteens	Provide suitable respirators under a written program, stored separately and never taken outside the lead area	Provide ordinary cotton masks with verbal reminders to wear as workers see fit, self-bought and washed at home	c	第45條：對冶煉精煉鉛化合物製造及其清掃、砂浴攪砂換砂、非濕式剝除含鉛塗料、含鉛設備內部作業（並應置備防護衣著）、乾燥作業、集塵裝置濾布更換、鉛之軋碎熔接熔斷噴布、船舶儲槽等通風不充分場所鉛作業，應置備適當呼吸防護具並訂定計畫使勞工遵守；呼吸防護具及防護衣著應設專用保管設備與其他衣物隔離並禁止攜出。第46條：輸氣管面罩連續作業每次不得超過一小時；第47條：面罩入氣口置於新鮮空氣位置。	Article 45: respirators (and protective clothing for equipment interiors) with a compliance plan and dedicated storage; Article 46: air-line masks limited to one hour per session.	draft	6		
