O0090030	違反環境影響評估法按日連續處罰執行準則	環保綜合目	Guidelines for the Execution of Consecutive Daily Fines for Violations of the Environmental Impact Assessment Act
O0020037	中小型廢棄物焚化爐戴奧辛管制及排放標準	空氣噪音目	Dioxin Control and Emission Standards for Small and Medium-sized Waste Incinerators
O0130006	公告場所室內空氣品質檢驗測定管理辦法	空氣噪音目	Regulations Governing Indoor Air Quality Testing and Measurement of Announced Premises
O0020061	公私場所固定污染源申請改善排放空氣污染物總量及濃度管理辦法	空氣噪音目	Regulations Governing Public and Private Premises' Applications for Improving the Total Quantity and Concentration of Air Pollutants Emitted from Stationary Pollution Sources
O0020066	公私場所固定污染源空氣污染物排放量申報管理辦法	空氣噪音目	Regulations Governing the Reporting of Air Pollutant Emissions from Stationary Pollution Sources of Public and Private Premises
O0020063	公私場所固定污染源復工試車評鑑及管理辦法	空氣噪音目	Regulations Governing the Resumption of Operation, Trial Run Evaluation, and Management of Stationary Pollution Sources of Public and Private Premises
O0020038	公私場所固定污染源違反空氣污染防制法應處罰鍰額度裁罰準則	空氣噪音目	Guidelines for Determining Fine Amounts for Stationary Pollution Sources of Public and Private Premises in Violation of the Air Pollution Control Act
O0020124	公私場所固定污染源燃料混燒比例成分及防制設施管制標準	空氣噪音目	Control Standards for Fuel Co-firing Ratio, Composition, and Control Equipment of Stationary Pollution Sources of Public and Private Premises
O0020041	水泥業空氣污染物排放標準	空氣噪音目	Air Pollutant Emission Standards for the Cement Industry
O0020045	加油站油氣回收設施管理辦法	空氣噪音目	Regulations Governing Vapor Recovery Facilities at Gas Stations
O0020032	半導體製造業空氣污染管制及排放標準	空氣噪音目	Air Pollution Control and Emission Standards for the Semiconductor Manufacturing Industry
O0030004	民用航空器噪音管制標準	空氣噪音目	Noise Control Standards for Civil Aircraft
O0020073	光電材料及元件製造業空氣污染管制及排放標準	空氣噪音目	Air Pollution Control and Emission Standards for the Optoelectronic Materials and Components Manufacturing Industry
O0020029	汽車製造業表面塗裝作業空氣污染物排放標準	空氣噪音目	Air Pollutant Emission Standards for Surface Coating Operations of the Motor Vehicle Manufacturing Industry
O0020135	汽油及替代清潔燃料引擎汽車排放空氣污染物檢驗站設置及管理辦法	空氣噪音目	Regulations Governing the Establishment and Management of Inspection Stations for Air Pollutant Emissions from Gasoline and Alternative Clean Fuel Engine Vehicles
O0020128	固定污染源有害空氣污染物排放標準	空氣噪音目	Hazardous Air Pollutant Emission Standards for Stationary Pollution Sources
O0020054	固定污染源自行或委託檢測及申報管理辦法	空氣噪音目	Regulations Governing Self or Commissioned Testing and Reporting by Stationary Pollution Sources
O0020068	固定污染源空氣污染物連續自動監測設施管理辦法	空氣噪音目	Regulations Governing Continuous Automated Monitoring Facilities for Air Pollutants from Stationary Pollution Sources
O0020072	固定污染源戴奧辛排放標準	空氣噪音目	Dioxin Emission Standards for Stationary Pollution Sources
O0020059	易致空氣污染之物質使用許可證管理辦法	空氣噪音目	Regulations Governing Permits for the Use of Substances Prone to Cause Air Pollution
O0130002	室內空氣品質管理法施行細則	空氣噪音目	Enforcement Rules of the Indoor Air Quality Management Act
O0130003	室內空氣品質維護管理專責人員設置管理辦法	空氣噪音目	Regulations Governing the Assignment and Management of Dedicated Personnel for Indoor Air Quality Maintenance and Management
O0020119	建物及工業維護塗料揮發性有機物成分標準	空氣噪音目	Volatile Organic Compound Content Standards for Architectural and Industrial Maintenance Coatings
O0020052	氟氯烴管理辦法	空氣噪音目	Regulations Governing the Management of Chlorofluorocarbons
O0020018	玻璃業空氣污染物排放標準	空氣噪音目	Air Pollutant Emission Standards for the Glass Industry
O0020022	特殊性工業區緩衝地帶及空氣品質監測設施設置標準	空氣噪音目	Standards for the Establishment of Buffer Zones and Air Quality Monitoring Facilities in Special Industrial Zones
O0020033	乾洗作業空氣污染防制設施管制標準	空氣噪音目	Control Standards for Air Pollution Control Equipment in Dry Cleaning Operations
O0020025	移動污染源空氣污染防制設備管理辦法	空氣噪音目	Regulations Governing Air Pollution Control Equipment for Mobile Pollution Sources
O0020003	移動污染源空氣污染物排放標準	空氣噪音目	Air Pollutant Emission Standards for Mobile Pollution Sources
O0020043	移動污染源違反空氣污染防制法裁罰準則	空氣噪音目	Guidelines for Fines on Mobile Pollution Sources in Violation of the Air Pollution Control Act
O0020034	移動污染源燃料成分管制標準	空氣噪音目	Fuel Composition Control Standards for Mobile Pollution Sources
O0020065	移動污染源燃料販賣進口許可及管理辦法	空氣噪音目	Regulations Governing the Permitting and Management of the Sale and Import of Fuel for Mobile Pollution Sources
O0030018	陸上運輸系統噪音管制標準	空氣噪音目	Noise Control Standards for Land Transportation Systems
O0020019	陶瓷業空氣污染物排放標準	空氣噪音目	Air Pollutant Emission Standards for the Ceramics Industry
O0020115	氯乙烯及聚氯乙烯製造業空氣污染物管制及排放標準	空氣噪音目	Air Pollution Control and Emission Standards for the Vinyl Chloride and Polyvinyl Chloride Manufacturing Industry
O0020057	溴化甲烷管理辦法	空氣噪音目	Regulations Governing the Management of Methyl Bromide
