level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch1_a	36	OSH-01	職業安全衛生法	第19條	4	在高溫場所工作之勞工，雇主不得使其每日工作時間超過幾小時？	四小時
B	batch1_b	5	OSH-01	職業安全衛生法	第22條	30	事業單位勞工人數達多少人以上，應置勞工健康服務人員或委託勞工健康服務專業機構？	三十人
B	batch1_b	7	OSH-01	職業安全衛生法	第22-1條	5	僱用勞工人數在幾人以上者，應訂定職場霸凌申訴管道並在工作場所公開揭示？	五人
B	batch1_b	38	OSH-01	職業安全衛生法	第35條	4	中央主管機關召開職業安全衛生諮詢會，其成員之任一性別不得少於多少？	四分之一
B	batch1_c	27	OSH-02	職業安全衛生法施行細則	第25條	10	作業場所有易燃液體之蒸氣或可燃性氣體滯留，達爆炸下限值之百分之多少以上，屬施行細	百分之十
B	batch1_c	41	OSH-02	職業安全衛生法施行細則	第49條	8	施行細則第49條所稱「重傷之災害」，須住院治療連續達多少小時以上？	八小時
B	batch1_c	42	OSH-02	職業安全衛生法施行細則	第51條	10	依施行細則第51條，勞工人數在多少人以上之事業，應依本法第38條按月填報職業災害	十人
B	batch2_a	1	OSH-07	職業安全衛生設施規則	第3條	110	職業安全衛生設施規則所稱「低壓」，係指多少伏特以下之電壓？	一百一十伏特
A	batch2_a	10	OSH-07	職業安全衛生設施規則	第25條	1.8	建築物之工作室，其樓地板至天花板淨高原則上應在多少公尺以上？	一．八公尺
B	batch2_a	11	OSH-07	職業安全衛生設施規則	第29條	10;45	工作用階梯之設置，其斜度不得大於幾度？梯級面深度不得小於幾公分？	斜度四十五度、深度十公分
B	batch2_a	14	OSH-07	職業安全衛生設施規則	第29-5條	1	局限空間作業之氧氣及危害物質濃度確認，應由專人辦理，其紀錄應保存幾年？	一年
B	batch2_a	23	OSH-07	職業安全衛生設施規則	第38條	10	以傾斜路代替樓梯時，傾斜路之斜度不得大於幾度？	十度
B	batch2_a	33	OSH-07	職業安全衛生設施規則	第63-1條	150	使用水柱壓力達每平方公分多少公斤以上之高壓水切割裝置，應訂定安全衛生作業標準並指	一百五十公斤
B	batch2_a	37	OSH-07	職業安全衛生設施規則	第76條	60	為防止勞工自粉碎機及混合機之開口部分墜落，設置之圍柵高度應在多少公分以上？	六十公分
B	batch2_a	38	OSH-07	職業安全衛生設施規則	第84條	10	施行週邊速率超過每秒多少公尺之高速回轉體試驗時，應於專用堅固建築物內或以堅固隔牆	每秒十公尺
B	batch2_a	41	OSH-07	職業安全衛生設施規則	第95條	3	升降機之升降路各樓出入口門應有連鎖裝置，使搬器地板與樓板相差多少公分以上時，出入	三公分
B	batch2_a	42	OSH-07	職業安全衛生設施規則	第97條	2	起重機具所使用之吊鉤或鉤環及附屬零件，其斷裂荷重與所承受最大荷重比之安全係數應在	二
B	batch2_a	46	OSH-07	職業安全衛生設施規則	第107條	25	搬運高壓氣體容器時，溫度應保持在攝氏幾度以下？	二十五度
B	batch2_a	52	OSH-07	職業安全衛生設施規則	第117條	5	最大速率超過每小時多少公里之車輛系營建機械，應事前依地質地形規定行駛速率？	五公里
A	batch2_a	56	OSH-07	職業安全衛生設施規則	第126條	0.5	荷重在多少公噸以上之堆高機，應指派經特殊作業安全衛生教育訓練人員操作？	○．五公噸
B	batch2_b	7	OSH-07	職業安全衛生設施規則	第167條	50	勞工於載貨台從事單一重量超過多少公斤之物料裝卸時，應指定專人指揮監督？	五十公斤
B	batch2_b	10	OSH-07	職業安全衛生設施規則	第177條	10	作業場所之易燃液體蒸氣或可燃性氣體濃度達爆炸下限值百分之多少以上時，應即刻使勞工	百分之十
A	batch2_b	18	OSH-07	職業安全衛生設施規則	第203條	0.7	使用乙炔熔接裝置從事熔接作業時，產生之乙炔壓力不得超過表壓力每平方公分多少公斤？	○．七公斤
A	batch2_b	19	OSH-07	職業安全衛生設施規則	第204條	0.5	乙炔發生器室以置於屋外為原則，其開口部分應與其他建築物保持多少公尺以上距離？	○．五公尺
B	batch2_b	21	OSH-07	職業安全衛生設施規則	第210條	1	氣體集合熔接裝置之設置，應選擇於距離用火設備多少公尺以上之場所？	一公尺
B	batch2_b	26	OSH-07	職業安全衛生設施規則	第224條	1	高度在幾公尺以上之工作場所邊緣及開口部分，勞工有墜落之虞者，應設護欄、護蓋等防護	一公尺
B	batch2_b	30	OSH-07	職業安全衛生設施規則	第227-1條	60	新建、增建工廠之鋼構屋頂，於邊緣及屋頂突出物頂板周圍應設置高度多少公分以上之女兒	六十公分
A	batch2_b	31	OSH-07	職業安全衛生設施規則	第228條	0.5	勞工於高差超過多少公尺以上之場所作業時，應設置能使勞工安全上下之設備？	○．五公尺
B	batch2_b	32	OSH-07	職業安全衛生設施規則	第229條	20	使用之移動梯，其寬度應在多少公分以上？	二十公分
B	batch2_b	34	OSH-07	職業安全衛生設施規則	第237條	1	自高度在幾公尺以上之場所投下物體有危害勞工之虞時，應設置滑槽、承受設備並指派監視	一公尺
B	batch2_b	35	OSH-07	職業安全衛生設施規則	第243條	50	使用對地電壓在多少伏特以上之移動式或攜帶式電動機具，應設置防止感電用漏電斷路器？	五十伏特
B	batch2_b	37	OSH-07	職業安全衛生設施規則	第249條	12	良導體機器設備內之檢修工作所用之手提式照明燈，其使用電壓不得超過多少伏特？	十二伏特
B	batch2_b	41	OSH-07	職業安全衛生設施規則	第259條	30	接近高壓電路從事作業時，在距離頭上、身側及腳下多少公分以內之高壓電路，應設置絕緣	三十公分
B	batch2_b	42	OSH-07	職業安全衛生設施規則	第260條	10	特高壓充電電路使用電壓二十二千伏特以下者，勞工身體或金屬工具應保持之接近界限距離	十公分
B	batch2_b	43	OSH-07	職業安全衛生設施規則	第264條	20	低壓（六百伏特以下）供電且契約容量達多少瓩以上之工廠或供公眾使用之建築物，應置初	二十瓩
B	batch2_b	44	OSH-07	職業安全衛生設施規則	第268條	60	六百伏特以下之電氣設備前方，至少應有多少公分以上之水平工作空間？	六十公分
