level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch11_b1	2	OSH-41	高壓氣體勞工安全規則	第5條	2	本規則所稱原料氣體，係指下列何者？	規則所定之可燃性氣體及氧氣二者
B	batch11_b1	14	OSH-41	高壓氣體勞工安全規則	第18條	0	壓縮氣體儲存設備與液化氣體儲存設備之儲存能力計算式各為何？	壓縮氣體 Ｑ＝（Ｐ＋１）Ｖ１；液化氣體儲存設備 Ｗ＝０．９ｗＶ２
B	batch11_b1	18	OSH-41	高壓氣體勞工安全規則	第20條	0;8	冷凍能力算式Ｒ＝Ｖ／Ｃ中，以多段壓縮方式或多元冷凍方式之製造設備，其Ｖ值如何計算	ＶＨ＋０．０８×ＶＬ，ＶＨ為最終段或最終元氣筒一小時活塞壓縮量
B	batch11_b2	18	OSH-41	高壓氣體勞工安全規則	第78條	9	霧劑之製造作業，對製造設備四周及霧劑之壓力與容量有何規定？	四周二公尺以內不得置放危險性物質；攝氏三十五度時容器內壓八公斤以下且容量在九成以下
B	batch11_b2	39	OSH-41	高壓氣體勞工安全規則	第102條	5	甲類及乙類製造事業單位以外之液化石油氣製造事業單位，其製造設施準用何規定？	準用工業用容器臭劑貼籤與添加臭劑，及灌裝距離五公尺與禁灌車輛容器之規定
B	batch11_b3	2	OSH-41	高壓氣體勞工安全規則	第111條	40	液化石油氣之容器放置場及灌氣容器等，其設置準用何規定？	準用容器放置場之警戒標示、輕質屋頂、不滯留構造、滅火設備及溫度四十度以下等規定
B	batch11_b3	44	OSH-41	高壓氣體勞工安全規則	第178條	5	特定液化石油氣消費設備，除距離八公尺及消防設備規定外，下列何者屬其準用之規定？	境界警戒標示、材料選用、耐壓氣密試驗、壓力表安全裝置、漏洩警報及儲存設備五公尺禁煙火
B	batch11_b4	9	OSH-41	高壓氣體勞工安全規則	第189條	1	可燃性氣體、毒性氣體及氧氣之消費，除第一百七十九條至第一百八十七條規定外，準用何	準用特定高壓氣體消費設施自境界警戒標示至操作閥防止過巨之力等一系列規定
B	batch11_b4	12	OSH-41	高壓氣體勞工安全規則	第192條	4;5	一般液化石油氣之消費，除第一百九十條至第一百九十一條之一規定外，準用何項規定？	準用儲存相關設備四周五公尺禁煙火、閥操作措施、修理清掃作業及加熱方式等規定
B	batch11_c5	7	OSH-08	危險性工作場所審查及檢查辦法	第14條	1	事業單位未置製程安全評估人員時，準用第六條規定，得由哪些人員擔任？	得以在國內完成製程安全評估人員訓練之工業安全技師，並具化學工程、職業衛生、機械工程或電機工程技師之一者任之
