level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch9_a	9	ENV-32	固定污染源設置操作及燃料使用許可證管理辦法	第9條	1.2	許可證記載之各項許可條件或數值得有多少容許差值？試車或檢測時主要原（物）料及燃料	得有百分之十容許差值；以試車或檢測時實際操作條件之一點二倍作為操作許可證核定內容
B	batch9_a	15	ENV-33	空氣污染防制費收費辦法	第2條	4;7;10	依油燃料種類成分數量徵收之空污費應於何時申報繳納？依排放空氣污染物種類數量徵收者	銷售者或進口者於每月十五日前申報前月份；固定污染源於每年四月、七月、十月及次年一月底前申報前季
B	batch9_a	19	ENV-33	空氣污染防制費收費辦法	第11條	10	以檢測結果計算排放量之固定污染源，其檢測結果與申報數值差異達多少應重新核算？以質	檢測結果換算單位活動強度排放量與申報值差異達百分之二十以上；質量平衡之成分檢測查核差異達百分之十以上
B	batch9_a	21	ENV-33	空氣污染防制費收費辦法	第14條	6	公私場所申報空污費經審查結算不足者應如何處理？溢繳未達一定金額者如何處理？申報及	結算不足者加徵差額並限期九十日內繳納；溢繳未達二千元者充作其後應繳費額之一部分；相關資料應保存六年備查
B	batch9_a	34	ENV-35	鍋爐空氣污染物排放標準	第6條	7;116	本標準污染物濃度計算之含氧參考基準為何？既存鍋爐改善計畫展延核定之改善期限不得逾	燃燒過程排氣中以百分之六氧氣為參考基準；既存鍋爐改善計畫展延核定之改善期限不得逾一百十六年七月一日
B	batch9_a	53	ENV-41	噪音管制區劃定作業準則	第8條	30	距大眾運輸系統、非地下化鐵路、高速公路及快速道路周界多少範圍內應劃為第三類？學校	距周界至少三十公尺以內之區域應劃定為第三類；學校等場所周界外五十公尺範圍內得劃為特定噪音管制區
B	batch9_a	54	ENV-41	噪音管制區劃定作業準則	第9條	2	劃定或重新劃定公告噪音管制區前應公開展覽多久？圖例顏色第一類至第四類分別為何？公	應公開展覽一個月；第一類淺藍、第二類淺綠、第三類淺黃、第四類淺紅色系；公告後應每二年檢討公告
B	batch9_a	59	ENV-42	易發生噪音設施設置及操作許可辦法	第12條	15	易發生噪音設施在指定管制區內操作時應如何？許可證毀損、滅失或基本資料變更應於幾日	應張掛操作許可證影本於設施上並能明顯辨識；自事實發生之日起十五日內申請補發換發或變更；變更原許可內容應於變更前重新申請
A	batch9_b	21	ENV-50	飲用水水質標準	第3條	108	飲用水鋁之最大限值與不適用情形，以及戴奧辛之最大限值為何？	鋁自一○八年七月一日起為○‧二 毫克／公升，陸上颱風警報期間水源濁度超過 500 NTU 及警報解除後三日內超過 100
B	batch9_b	22	ENV-50	飲用水水質標準	第4條	0.2;3	自來水因暴雨或其他天然災害致水源濁度超過多少時，飲用水濁度及自由有效餘氯限值如何	水源濁度超過一五○○ NTU 時，飲用水濁度最大限值為四 NTU，自由有效餘氯限值範圍放寬為○‧二～三‧○ 毫克／公升
A	batch9_b	32	ENV-51	土壤處理標準	第31條	0.1;0.5	排放於土壤之廢（污）水，其水溫、氫離子濃度指數、總酚、氰化物、油脂及鈉吸著比限值	水溫三十五度、氫離子濃度指數六．○－九．○、總酚○．一、氰化物○．五、礦物性油脂一○、動植物性油脂三○、鈉吸著比六．○
B	batch9_b	35	ENV-54	公民營廢棄物清除處理機構許可管理辦法	第5條	3	核發機關之審查期限，以及同意設置文件或許可證之許可期限規定為何？	應於受理申請後六十日內審查完畢作成准駁，必要時得再延長審查期限以六十日為限；同意設置文件或許可證之許可期限不得超過五年，
B	batch9_b	38	ENV-54	公民營廢棄物清除處理機構許可管理辦法	第8條	14	申請清除許可證之實收資本額規定，以及核准後製作許可證之期限為何？	應檢具公司設立登記實收資本額新臺幣五百萬元以上之證明文件，但申請丙級清除許可證者免附；經審查核准後應於十四日內完成許可證
A	batch9_b1	7	ENV-50	飲用水水質標準	第3條	109	飲用水中銻、鎳、汞、氰鹽及亞硝酸鹽氮之最大限值為何？	銻○‧○一、鎳自一○九年七月一日起○‧○二、汞自一○九年七月一日起○‧○○一、氰鹽○‧○五、亞硝酸鹽氮○‧一 毫克／公升
B	batch9_c	35	ENV-61	共通性事業廢棄物再利用管理辦法	第9條	10	事業與再利用機構之再利用紀錄應保存幾年？再利用機構應於何時申報營運紀錄？	事業及再利用機構之紀錄應保存三年；再利用機構應於每月十日前連線申報前月營運紀錄
B	batch9_c2	30	ENV-60	環境部事業廢棄物再利用管理辦法	第23條	1	再利用許可申請文件如為英文以外之其他外文者，應如何辦理？	應檢附中文譯本，一併送本部審查
B	batch9_c6	1	ENV-57	一般廢棄物回收清除處理辦法	第36條	1	《一般廢棄物回收清除處理辦法》第36條之現行條文內容為何？	該條已刪除而無實質規定；回收處理業設施未符規定之改善期限，現依第三十六條之一辦理
B	batch9_c6	3	ENV-95	公害糾紛處理法施行細則	第26條	7	《公害糾紛處理法施行細則》第26條之現行條文內容為何？	該條已刪除而無實質規定；調處不成立之通知期限，現依第二十五條規定於七日內作成送達
B	batch9_c6	4	ENV-95	公害糾紛處理法施行細則	第34條	2	《公害糾紛處理法施行細則》第34條之現行條文內容為何？	該條已刪除而無實質規定；裁決費用之分擔，現依第三十五條得申請兩造比例分擔或相對人負擔
B	batch9_c6	5	ENV-97	環境檢驗測定機構管理辦法	第24條之1	10	《環境檢驗測定機構管理辦法》第24條之1之現行條文內容為何？	該條已刪除而無實質規定；應依各該環保法律罰則處罰之情形，現依第二十四條所列十款辦理
B	batch9_d	7	ENV-64	開發行為應實施環境影響評估細目及範圍認定標準	第26條	1;10	高樓建築及三戶以上集合住宅或社區之開發，其應實施環境影響評估之門檻為何？	高樓建築高度一百二十公尺以上；集合住宅或社區位於山坡地申請開發或累積開發面積一公頃以上，位於非都市土地十公頃以上
A	batch9_d5	21	ENV-73	毒性及關注化學物質運作與釋放量紀錄管理辦法	第4條	70	毒性化學物質及關注化學物質運作紀錄之申報頻率與期限為何？	毒性化學物質應於每月十日前完成申報前一個月運作紀錄；關注化學物質依公告或審定運作方法分每月十日前、每年四七十月及次年一月
B	batch9_e	17	ENV-87	自主減量計畫管理辦法	第9條	12	事業提交自主減量計畫執行進度報告之期限，以及中央主管機關完成查核之期限各為何？	事業應於每年四月三十日前提交前一年度執行報告；中央主管機關應於每年十二月底前完成前一年度執行報告之查核作業
